country,country_code,type,ticker,yield,date
canada,CA,3m,CA3m,2.2,2025-11-28T00:00:00.000
united states,US,3m,US3m,3.8,2025-11-28T00:00:00.000
germany,DE,3m,DE3m,1.86,2025-11-28T00:00:00.000
spain,ES,3m,ES3m,2.0,2025-11-28T00:00:00.000
france,FR,3m,FR3m,2.05,2025-11-28T00:00:00.000
united kingdom,GB,3m,GB3m,3.94,2025-11-28T00:00:00.000
greece,GR,3m,GR3m,2.39,2025-11-28T00:00:00.000
italy,IT,3m,IT3m,2.03,2025-11-28T00:00:00.000
netherlands,NL,3m,NL3m,1.93,2025-11-28T00:00:00.000
portugal,PT,3m,PT3m,2.01,2025-11-28T00:00:00.000
indonesia,ID,3m,ID3m,4.6,2025-11-28T00:00:00.000
india,IN,3m,IN3m,5.32,2025-11-28T00:00:00.000
japan,JP,3m,JP3m,0.5,2025-11-28T00:00:00.000
singapore,SG,3m,SG3m,1.42,2025-11-28T00:00:00.000
canada,CA,6m,CA6m,2.28,2025-11-28T00:00:00.000
united states,US,6m,US6m,3.77,2025-11-28T00:00:00.000
germany,DE,6m,DE6m,1.92,2025-11-28T00:00:00.000
spain,ES,6m,ES6m,2.0,2025-11-28T00:00:00.000
france,FR,6m,FR6m,2.12,2025-11-28T00:00:00.000
united kingdom,GB,6m,GB6m,3.96,2025-11-28T00:00:00.000
greece,GR,6m,GR6m,2.22,2025-11-28T00:00:00.000
italy,IT,6m,IT6m,2.01,2025-11-28T00:00:00.000
netherlands,NL,6m,NL6m,1.97,2025-11-28T00:00:00.000
portugal,PT,6m,PT6m,1.99,2025-11-28T00:00:00.000
indonesia,ID,6m,ID6m,4.67,2025-11-28T00:00:00.000
india,IN,6m,IN6m,5.5,2025-11-28T00:00:00.000
japan,JP,6m,JP6m,0.62,2025-11-28T00:00:00.000
singapore,SG,6m,SG6m,1.37,2025-11-28T00:00:00.000
canada,CA,52w,CA52w,2.34,2025-11-28T00:00:00.000
united states,US,52w,US52w,3.59,2025-11-28T00:00:00.000
germany,DE,52w,DE52w,1.92,2025-11-28T00:00:00.000
spain,ES,52w,ES52w,1.99,2025-11-28T00:00:00.000
france,FR,52w,FR52w,2.13,2025-11-28T00:00:00.000
united kingdom,GB,52w,GB52w,3.73,2025-11-28T00:00:00.000
italy,IT,52w,IT52w,2.08,2025-11-28T00:00:00.000
portugal,PT,52w,PT52w,1.98,2025-11-28T00:00:00.000
russia,RU,52w,RU52w,14.03,2025-11-28T00:00:00.000
china,CN,52w,CN52w,1.36,2025-11-28T00:00:00.000
indonesia,ID,52w,ID52w,5.1,2025-11-28T00:00:00.000
india,IN,52w,IN52w,5.56,2025-11-28T00:00:00.000
japan,JP,52w,JP52w,0.77,2025-11-28T00:00:00.000
australia,AU,52w,AU52w,3.75,2025-11-28T00:00:00.000
canada,CA,2y,CA2y,2.42,2025-11-28T00:00:00.000
united states,US,2y,US2y,3.5,2025-11-28T00:00:00.000
belgium,BE,2y,BE2y,2.1,2025-11-28T00:00:00.000
switzerland,CH,2y,CH2y,-0.13,2025-11-28T00:00:00.000
germany,DE,2y,DE2y,2.03,2025-11-28T00:00:00.000
denmark,DK,2y,DK2y,1.62,2025-11-28T00:00:00.000
spain,ES,2y,ES2y,2.08,2025-11-28T00:00:00.000
finland,FI,2y,FI2y,2.11,2025-11-28T00:00:00.000
france,FR,2y,FR2y,2.2,2025-11-28T00:00:00.000
united kingdom,GB,2y,GB2y,3.74,2025-11-28T00:00:00.000
italy,IT,2y,IT2y,2.21,2025-11-28T00:00:00.000
netherlands,NL,2y,NL2y,2.11,2025-11-28T00:00:00.000
portugal,PT,2y,PT2y,1.99,2025-11-28T00:00:00.000
russia,RU,2y,RU2y,14.57,2025-11-28T00:00:00.000
sweden,SE,2y,SE2y,2.06,2025-11-28T00:00:00.000
turkey,TR,2y,TR2y,35.44,2025-11-28T00:00:00.000
china,CN,2y,CN2y,1.42,2025-11-28T00:00:00.000
india,IN,2y,IN2y,5.64,2025-11-28T00:00:00.000
japan,JP,2y,JP2y,0.98,2025-11-28T00:00:00.000
singapore,SG,2y,SG2y,1.37,2025-11-28T00:00:00.000
australia,AU,2y,AU2y,3.82,2025-11-28T00:00:00.000
new zealand,NZ,2y,NZ2y,3.18,2025-11-28T00:00:00.000
canada,CA,3y,CA3y,2.47,2025-11-28T00:00:00.000
united states,US,3y,US3y,3.49,2025-11-28T00:00:00.000
germany,DE,3y,DE3y,2.06,2025-11-28T00:00:00.000
spain,ES,3y,ES3y,2.2,2025-11-28T00:00:00.000
france,FR,3y,FR3y,2.38,2025-11-28T00:00:00.000
united kingdom,GB,3y,GB3y,3.75,2025-11-28T00:00:00.000
italy,IT,3y,IT3y,2.33,2025-11-28T00:00:00.000
portugal,PT,3y,PT3y,2.05,2025-11-28T00:00:00.000
russia,RU,3y,RU3y,14.78,2025-11-28T00:00:00.000
china,CN,3y,CN3y,1.43,2025-11-28T00:00:00.000
indonesia,ID,3y,ID3y,5.3,2025-11-28T00:00:00.000
india,IN,3y,IN3y,5.75,2025-11-28T00:00:00.000
japan,JP,3y,JP3y,1.06,2025-11-28T00:00:00.000
australia,AU,3y,AU3y,3.89,2025-11-28T00:00:00.000
canada,CA,5y,CA5y,2.73,2025-11-28T00:00:00.000
united states,US,5y,US5y,3.6,2025-11-28T00:00:00.000
germany,DE,5y,DE5y,2.29,2025-11-28T00:00:00.000
spain,ES,5y,ES5y,2.44,2025-11-28T00:00:00.000
france,FR,5y,FR5y,2.74,2025-11-28T00:00:00.000
united kingdom,GB,5y,GB5y,3.89,2025-11-28T00:00:00.000
italy,IT,5y,IT5y,2.75,2025-11-28T00:00:00.000
portugal,PT,5y,PT5y,2.37,2025-11-28T00:00:00.000
russia,RU,5y,RU5y,14.82,2025-11-28T00:00:00.000
china,CN,5y,CN5y,1.57,2025-11-28T00:00:00.000
indonesia,ID,5y,ID5y,5.8,2025-11-28T00:00:00.000
india,IN,5y,IN5y,6.17,2025-11-28T00:00:00.000
japan,JP,5y,JP5y,1.32,2025-11-28T00:00:00.000
singapore,SG,5y,SG5y,1.75,2025-11-28T00:00:00.000
australia,AU,5y,AU5y,4.08,2025-11-28T00:00:00.000
canada,CA,7y,CA7y,2.92,2025-11-28T00:00:00.000
united states,US,7y,US7y,3.79,2025-11-28T00:00:00.000
germany,DE,7y,DE7y,2.43,2025-11-28T00:00:00.000
spain,ES,7y,ES7y,2.86,2025-11-28T00:00:00.000
france,FR,7y,FR7y,3.0,2025-11-28T00:00:00.000
united kingdom,GB,7y,GB7y,4.04,2025-11-28T00:00:00.000
italy,IT,7y,IT7y,2.99,2025-11-28T00:00:00.000
portugal,PT,7y,PT7y,2.65,2025-11-28T00:00:00.000
