country,country_code,type,ticker,yield,date
FR,FR,10Y,FR10Y,7.623,1995-06-01
FR,FR,10Y,FR10Y,7.43,1995-07-01
FR,FR,10Y,FR10Y,7.374,1995-08-01
FR,FR,10Y,FR10Y,7.488,1995-09-01
FR,FR,10Y,FR10Y,7.283,1995-10-01
FR,FR,10Y,FR10Y,6.915,1995-11-01
FR,FR,10Y,FR10Y,6.692,1995-12-01
FR,FR,10Y,FR10Y,6.385,1996-01-01
FR,FR,10Y,FR10Y,6.713,1996-02-01
FR,FR,10Y,FR10Y,6.598,1996-03-01
FR,FR,10Y,FR10Y,6.404,1996-04-01
FR,FR,10Y,FR10Y,6.519,1996-05-01
FR,FR,10Y,FR10Y,6.489,1996-06-01
FR,FR,10Y,FR10Y,6.411,1996-07-01
FR,FR,10Y,FR10Y,6.49,1996-08-01
FR,FR,10Y,FR10Y,6.11,1996-09-01
FR,FR,10Y,FR10Y,5.973,1996-10-01
FR,FR,10Y,FR10Y,5.602,1996-11-01
FR,FR,10Y,FR10Y,5.816,1996-12-01
FR,FR,10Y,FR10Y,5.58,1997-01-01
FR,FR,10Y,FR10Y,5.427,1997-02-01
FR,FR,10Y,FR10Y,5.69,1997-03-01
FR,FR,10Y,FR10Y,5.743,1997-04-01
FR,FR,10Y,FR10Y,5.799,1997-05-01
FR,FR,10Y,FR10Y,5.587,1997-06-01
FR,FR,10Y,FR10Y,5.449,1997-07-01
FR,FR,10Y,FR10Y,5.604,1997-08-01
FR,FR,10Y,FR10Y,5.482,1997-09-01
FR,FR,10Y,FR10Y,5.594,1997-10-01
FR,FR,10Y,FR10Y,5.451,1997-11-01
FR,FR,10Y,FR10Y,5.327,1997-12-01
FR,FR,10Y,FR10Y,5.105,1998-01-01
FR,FR,10Y,FR10Y,4.984,1998-02-01
FR,FR,10Y,FR10Y,4.97,1998-03-01
FR,FR,10Y,FR10Y,5.12,1998-04-01
FR,FR,10Y,FR10Y,4.919,1998-05-01
FR,FR,10Y,FR10Y,4.841,1998-06-01
FR,FR,10Y,FR10Y,4.748,1998-07-01
FR,FR,10Y,FR10Y,4.323,1998-08-01
FR,FR,10Y,FR10Y,4.006,1998-09-01
FR,FR,10Y,FR10Y,4.267,1998-10-01
FR,FR,10Y,FR10Y,4.049,1998-11-01
FR,FR,10Y,FR10Y,3.9,1998-12-01
FR,FR,10Y,FR10Y,3.73,1999-01-01
FR,FR,10Y,FR10Y,4.1,1999-02-01
FR,FR,10Y,FR10Y,4.11,1999-03-01
FR,FR,10Y,FR10Y,3.96,1999-04-01
FR,FR,10Y,FR10Y,4.26,1999-05-01
FR,FR,10Y,FR10Y,4.56,1999-06-01
FR,FR,10Y,FR10Y,4.86,1999-07-01
FR,FR,10Y,FR10Y,4.9,1999-08-01
FR,FR,10Y,FR10Y,5.15,1999-09-01
