country_code,date,spread_vs_de
AT,1995-06-30,36.26
AT,1995-07-31,34.3
AT,1995-08-31,32.78
AT,1995-09-30,36.04
AT,1995-10-31,48.32
AT,1995-11-30,47.83
AT,1995-12-31,35.09
AT,1996-01-31,28.5
AT,1996-02-29,23.2
AT,1996-03-31,10.2
AT,1996-04-30,1.5
AT,1996-05-31,4.3
AT,1996-06-30,1.7
AT,1996-07-31,16.3
AT,1996-08-31,9.8
AT,1996-09-30,5.5
AT,1996-10-31,8.3
AT,1996-11-30,13.8
AT,1996-12-31,3.5
AT,1997-01-31,0.3
AT,1997-02-28,0.7
AT,1997-03-31,-6.6
AT,1997-04-30,5.4
AT,1997-05-31,-0.5
AT,1997-06-30,6.4
AT,1997-07-31,0.7
AT,1997-08-31,1.5
AT,1997-09-30,3.7
AT,1997-10-31,9.3
AT,1997-11-30,8.7
AT,1997-12-31,5.8
AT,1998-01-31,9.6
AT,1998-02-28,10.5
AT,1998-03-31,12.2
AT,1998-04-30,12.7
AT,1998-05-31,10.3
AT,1998-06-30,11.3
AT,1998-07-31,9.2
AT,1998-08-31,32.9
AT,1998-09-30,31.8
AT,1998-10-31,23.2
AT,1998-11-30,25.1
AT,1998-12-31,17.2
AT,1999-01-31,18.0
AT,1999-02-28,14.6
AT,1999-03-31,19.1
AT,1999-04-30,19.7
AT,1999-05-31,18.2
AT,1999-06-30,24.7
AT,1999-07-31,20.6
AT,1999-08-31,21.8
AT,1999-09-30,22.5
AT,1999-10-31,34.5
AT,1999-11-30,24.4
AT,1999-12-31,19.3
AT,2000-01-31,20.5
AT,2000-02-29,26.6
AT,2000-03-31,23.9
AT,2000-04-30,25.8
AT,2000-05-31,34.6
AT,2000-06-30,38.1
AT,2000-07-31,31.8
AT,2000-08-31,33.0
AT,2000-09-30,30.8
AT,2000-10-31,28.9
AT,2000-11-30,28.5
AT,2000-12-31,30.8
AT,2001-01-31,31.3
AT,2001-02-28,32.1
AT,2001-03-31,34.0
AT,2001-04-30,31.3
AT,2001-05-31,27.3
AT,2001-06-30,27.0
AT,2001-07-31,24.5
AT,2001-08-31,26.0
AT,2001-09-30,24.5
AT,2001-10-31,24.4
AT,2001-11-30,22.6
AT,2001-12-31,17.2
AT,2002-01-31,18.31
AT,2002-02-28,19.13
AT,2002-03-31,19.54
AT,2002-04-30,18.53
AT,2002-05-31,17.33
AT,2002-06-30,19.85
AT,2002-07-31,18.24
AT,2002-08-31,17.74
AT,2002-09-30,18.8
AT,2002-10-31,13.52
AT,2002-11-30,8.28
AT,2002-12-31,6.68
AT,2003-01-31,6.14
AT,2003-02-28,3.65
AT,2003-03-31,1.3
AT,2003-04-30,-1.41
AT,2003-05-31,14.99
AT,2003-06-30,10.1
AT,2003-07-31,6.04
AT,2003-08-31,6.13
AT,2003-09-30,5.52
AT,2003-10-31,3.15
AT,2003-11-30,3.59
AT,2003-12-31,3.26
AT,2004-01-31,9.19
AT,2004-02-29,6.3
AT,2004-03-31,10.3
AT,2004-04-30,5.7
AT,2004-05-31,10.8
AT,2004-06-30,1.8
AT,2004-07-31,-0.8
AT,2004-08-31,0.5
AT,2004-09-30,7.6
AT,2004-10-31,5.1
AT,2004-11-30,-5.2
AT,2004-12-31,-1.6
AT,2005-01-31,-1.8
AT,2005-02-28,-0.2
AT,2005-03-31,-6.9
AT,2005-04-30,10.3
AT,2005-05-31,-2.7
AT,2005-06-30,-3.0
AT,2005-07-31,6.2
AT,2005-08-31,-3.0
AT,2005-09-30,2.3
AT,2005-10-31,-0.2
AT,2005-11-30,-1.1
AT,2005-12-31,-0.2
AT,2006-01-31,1.1
AT,2006-02-28,-4.6
AT,2006-03-31,-0.4
AT,2006-04-30,2.1
AT,2006-05-31,8.7
AT,2006-06-30,3.5
AT,2006-07-31,2.6
AT,2006-08-31,-1.2
AT,2006-09-30,6.7
AT,2006-10-31,-1.1
AT,2006-11-30,2.9
AT,2006-12-31,4.7
AT,2007-01-31,3.9
AT,2007-02-28,8.1
AT,2007-03-31,5.9
AT,2007-04-30,-1.7
AT,2007-05-31,5.2
AT,2007-09-30,6.9
AT,2007-10-31,17.0
AT,2007-11-30,18.8
AT,2007-12-31,5.7
AT,2008-01-31,12.9
AT,2008-02-29,11.7
AT,2008-03-31,34.6
AT,2008-04-30,28.8
AT,2008-05-31,21.6
AT,2008-06-30,26.1
AT,2008-07-31,27.6
AT,2008-08-31,28.7
AT,2008-09-30,42.9
AT,2008-10-31,62.1
AT,2008-11-30,62.4
AT,2008-12-31,89.0
AT,2009-01-31,92.9
AT,2009-02-28,106.0
AT,2009-03-31,101.2
AT,2009-04-30,83.8
AT,2009-05-31,74.9
AT,2009-06-30,72.4
AT,2009-07-31,48.3
AT,2009-08-31,48.4
AT,2009-09-30,43.7
AT,2009-10-31,36.7
AT,2009-11-30,36.6
AT,2009-12-31,48.6
AT,2010-01-31,48.3
AT,2010-02-28,48.9
AT,2010-03-31,37.3
AT,2010-04-30,36.7
AT,2010-05-31,35.3
AT,2010-06-30,66.8
AT,2010-07-31,43.5
AT,2010-08-31,47.7
AT,2010-09-30,54.1
AT,2010-10-31,43.3
AT,2010-11-30,55.9
AT,2010-12-31,56.9
AT,2011-01-31,45.5
AT,2011-02-28,47.7
AT,2011-03-31,47.2
AT,2011-04-30,40.7
AT,2011-05-31,42.9
AT,2011-06-30,47.5
AT,2011-07-31,58.8
AT,2011-08-31,61.1
AT,2011-09-30,78.7
AT,2011-10-31,95.0
AT,2011-11-30,124.0
AT,2011-12-31,109.7
AT,2012-01-31,128.0
AT,2012-02-29,112.7
AT,2012-03-31,98.8
AT,2012-04-30,101.4
AT,2012-05-31,88.8
AT,2012-06-30,82.5
AT,2012-07-31,60.7
AT,2012-08-31,60.5
AT,2012-09-30,50.0
AT,2012-10-31,51.2
AT,2012-11-30,37.3
AT,2012-12-31,44.9
AT,2013-01-31,31.1
AT,2013-02-28,35.9
AT,2013-03-31,40.8
AT,2013-04-30,41.6
AT,2013-05-31,39.7
AT,2013-06-30,45.1
AT,2013-07-31,40.7
AT,2013-08-31,44.2
AT,2013-09-30,41.2
AT,2013-10-31,37.8
AT,2013-11-30,36.1
AT,2013-12-31,33.8
AT,2014-01-31,26.9
AT,2014-02-28,30.6
AT,2014-03-31,25.7
AT,2014-04-30,24.3
AT,2014-05-31,19.7
AT,2014-06-30,31.0
AT,2014-07-31,24.8
AT,2014-08-31,24.2
AT,2014-09-30,21.0
AT,2014-10-31,19.0
AT,2014-11-30,14.1
AT,2014-12-31,17.1
AT,2015-01-31,9.5
AT,2015-02-28,6.6
AT,2015-03-31,13.8
AT,2015-04-30,13.1
AT,2015-05-31,15.2
AT,2015-06-30,38.64
AT,2015-07-31,26.45
AT,2015-08-31,27.71
AT,2015-09-30,30.82
AT,2015-10-31,28.5
AT,2015-11-30,25.98
AT,2015-12-31,26.32
AT,2016-01-31,25.73
AT,2016-02-29,28.02
AT,2016-03-31,20.57
AT,2016-04-30,23.04
AT,2016-05-31,18.35
AT,2016-06-30,34.8
AT,2016-07-31,17.5
AT,2016-08-31,19.2
AT,2016-09-30,22.0
AT,2016-10-31,18.5
AT,2016-11-30,26.0
AT,2016-12-31,21.9
AT,2017-01-31,25.2
AT,2017-02-28,22.5
AT,2017-03-31,21.1
AT,2017-04-30,28.1
AT,2017-05-31,28.5
AT,2017-06-30,24.1
AT,2017-07-31,17.9
AT,2017-08-31,20.7
AT,2017-09-30,17.4
AT,2017-10-31,17.7
AT,2017-11-30,14.6
AT,2017-12-31,16.4
AT,2018-01-31,11.8
AT,2018-02-28,24.2
AT,2018-03-31,20.35
AT,2018-04-30,19.9
AT,2018-05-31,35.38
AT,2018-06-30,27.0
AT,2018-07-31,18.3
AT,2018-08-31,22.0
AT,2018-09-30,21.0
AT,2018-10-31,22.4
AT,2018-11-30,25.1
AT,2018-12-31,25.2
AT,2019-01-31,21.6
AT,2019-02-28,35.2
AT,2019-03-31,30.8
AT,2019-04-30,29.3
AT,2019-05-31,32.5
AT,2019-06-30,27.2
AT,2019-07-31,21.7
AT,2019-08-31,27.3
AT,2019-09-30,25.0
AT,2019-10-31,23.2
AT,2019-11-30,22.9
AT,2019-12-31,21.3
AT,2020-01-31,18.0
AT,2020-02-29,24.3
AT,2020-03-31,48.0
AT,2020-04-30,43.6
AT,2020-05-31,33.7
AT,2020-06-30,24.6
AT,2020-07-31,22.2
AT,2020-08-31,17.4
AT,2020-09-30,17.5
AT,2020-10-31,19.4
AT,2020-11-30,15.5
AT,2020-12-31,14.8
AT,2021-01-31,13.9
AT,2021-02-28,23.4
AT,2021-03-31,23.7
AT,2021-04-30,23.7
AT,2021-05-31,23.8
AT,2021-06-30,20.7
AT,2021-07-31,24.7
AT,2021-08-31,22.6
AT,2021-09-30,22.9
AT,2021-10-31,25.4
AT,2021-11-30,25.8
AT,2021-12-31,28.14
AT,2022-01-31,24.4
AT,2022-02-28,36.9
AT,2022-03-31,45.3
AT,2022-04-30,50.2
AT,2022-05-31,55.7
AT,2022-06-30,56.9
AT,2022-07-31,52.9
AT,2022-08-31,63.6
AT,2022-09-30,70.7
AT,2022-10-31,67.2
AT,2022-11-30,58.8
AT,2022-12-31,64.1
AT,2023-01-31,63.7
AT,2023-02-28,65.2
AT,2023-03-31,62.5
AT,2023-04-30,67.1
AT,2023-05-31,70.1
AT,2023-06-30,64.7
AT,2023-07-31,64.8
AT,2023-08-31,58.8
AT,2023-09-30,62.8
AT,2023-10-31,64.1
AT,2023-11-30,57.1
AT,2023-12-31,56.7
AT,2024-01-31,54.2
AT,2024-02-29,48.6
AT,2024-03-31,52.05
AT,2024-04-30,46.55
AT,2024-05-31,50.4
AT,2024-06-30,57.6
AT,2024-07-31,49.9
AT,2024-08-31,52.0
AT,2024-09-30,51.5
AT,2024-10-31,47.8
AT,2024-11-30,42.95
AT,2024-12-31,39.75
AT,2025-01-31,35.35
AT,2025-02-28,43.5
AT,2025-03-31,41.5
AT,2025-04-30,44.4
AT,2025-05-31,38.0
AT,2025-06-30,39.5
AT,2025-07-31,32.4
AT,2025-08-31,32.49
AT,2025-09-30,29.95
AT,2025-10-31,29.78
AT,2025-11-17,26.92
AT,2025-11-18,28.53
BE,1995-06-30,67.06
BE,1995-07-31,53.7
BE,1995-08-31,53.88
BE,1995-09-30,53.34
BE,1995-10-31,52.92
BE,1995-11-30,55.83
BE,1995-12-31,67.49
BE,1996-01-31,45.0
BE,1996-02-29,45.7
BE,1996-03-31,33.3
BE,1996-04-30,28.2
BE,1996-05-31,20.6
BE,1996-06-30,17.0
BE,1996-07-31,40.8
BE,1996-08-31,26.5
BE,1996-09-30,15.4
BE,1996-10-31,12.0
BE,1996-11-30,15.4
BE,1996-12-31,6.1
BE,1997-01-31,2.9
BE,1997-02-28,16.0
BE,1997-03-31,8.1
BE,1997-04-30,13.4
BE,1997-05-31,9.3
BE,1997-06-30,11.0
BE,1997-07-31,9.6
BE,1997-08-31,9.0
BE,1997-09-30,8.4
BE,1997-10-31,15.1
BE,1997-11-30,13.2
BE,1997-12-31,12.1
BE,1998-01-31,14.6
