region,horizon,ticker,exchange,duration_yrs,ytm_pct,maxdd_pct,dd_start,dd_end,ytd_pct,ret_1y_pct,ret_3y_pct,ret_5y_pct,order
EU,Short Term,IBCA,XETRA,1.86379,2.11,-5.976289471052743,2019-09-06,2024-10-01,2.238575400949361,2.3625121587823816,2.7509584856559632,0.6871134290991066,1
EU,Medium Term,IBCN,XETRA,3.74431,2.36,-12.260283462513332,2019-09-05,Ongoing,2.61306583721872,2.3452962463635707,2.7723072456556697,-0.444115981430937,2
EU,Medium/Long,IBCM,XETRA,7.37512,2.95,-22.65166834952681,2020-12-15,Ongoing,2.3645050629033992,0.8628171649827987,2.4303672131511966,-2.6737215108682433,3
EU,Very Long Term,IBCL,XETRA,16.20383,3.71,-42.70695049120086,2020-12-16,Ongoing,-3.2037822413179096,-6.944141393092806,-1.609826798340075,-8.388185437573393,4
EU,Very Long Term,IS05,XETRA,19.25055,3.5900000000000003,-47.65320595379775,2020-11-05,Ongoing,-8.741162930892743,-12.923029623907334,-5.4660483540707965,-11.433944067530666,5
UK,Short/Medium Term,IGLS,LSE,2.31647,3.6699999999999995,-8.52579733918768,2020-09-15,2024-09-05,4.8489476758796,4.955261498881658,3.7038526270293692,1.0806007051311406,6
UK,Long Term,IGLT,LSE,7.80634,4.3,-32.80411279957662,2020-05-07,Ongoing,4.952642996983969,2.6377109416060973,0.059548090403627185,-5.082799684256633,7
US,Short Term,SHV,US,0.28022,3.8699999999999997,-0.3896303691912517,2020-04-01,2022-10-06,3.8035617450276282,4.2604010519905255,4.809236439295672,2.950158436965511,8
US,Short Term,SHY,US,1.87443,3.63,-5.487977773904628,2021-06-07,2024-05-15,4.669562675751138,4.924196387093893,4.372267675681574,1.5764214213679795,9
US,Medium Term,IEI,US,4.29141,3.72,-13.824948277089122,2020-08-06,2025-11-25,7.141584405402512,6.292836885920572,4.418847797674741,0.1123227864054055,10
US,Medium Term,GOVT,US,5.75586,3.91,-19.040176702536115,2020-08-06,Ongoing,6.632084939077187,5.005255361787442,3.6110265975669575,-1.1907384777023244,11
US,Medium/Long,IEF,US,6.96763,4.0,-23.037853786026442,2020-08-06,Ongoing,8.805549417806624,6.427958259849897,3.529922556108933,-1.711634744102175,12
US,Long Term,TLH,US,12.05567,4.57,-39.90102498198531,2020-08-06,Ongoing,8.018124793729786,3.269743568159744,1.93450175605816,-5.478024533335479,13
US,Very Long Term,TLT,US,15.65529,4.71,-47.0520730160549,2020-08-04,Ongoing,6.804668575203698,0.26521270216339765,-0.6334659586501257,-8.102407180846093,14
US,Very Long Term,EDV,US,24.04,4.92,-58.63973062080128,2020-08-04,Ongoing,5.29310890792245,-3.9343798742064062,-3.741023399201804,-12.20655370926449,15
