year,code,ret
2016,DMX,4.1
2016,SML,3.5
2016,GEQ,2.9
2016,S&P,2.7
2016,CMD,2.5
2016,INFL,2.0
2016,EMQ,1.0
2016,IGCR,0.8
2016,HBND,0.0
2016,CASH,-0.0
2016,GLD,-1.5
2017,EMQ,20.7
2017,DMX,9.5
2017,GEQ,9.2
2017,S&P,6.7
2017,IGCR,2.1
2017,INFL,1.2
2017,SML,0.4
2017,HBND,0.3
2017,CASH,-0.3
2017,GLD,-0.5
2017,CMD,-10.9
2018,GLD,3.1
2018,S&P,0.1
2018,HBND,-0.2
2018,CASH,-0.3
2018,IGCR,-1.5
2018,INFL,-1.7
2018,GEQ,-4.7
2018,SML,-6.8
2018,CMD,-7.1
2018,DMX,-9.7
2018,EMQ,-10.3
2019,S&P,34.5
2019,GEQ,30.1
2019,SML,28.4
2019,DMX,24.8
2019,EMQ,21.5
2019,GLD,21.0
2019,CMD,10.1
2019,INFL,6.3
2019,IGCR,6.3
2019,HBND,4.5
2019,CASH,-0.4
2020,GLD,14.8
2020,SML,10.1
2020,EMQ,9.0
2020,S&P,8.7
2020,GEQ,7.2
2020,HBND,4.8
2020,INFL,2.9
2020,IGCR,2.6
2020,CASH,-0.4
2020,DMX,-1.0
2020,CMD,-11.6
2021,CMD,44.0
2021,S&P,39.0
2021,GEQ,28.2
2021,SML,24.0
2021,DMX,19.6
2021,INFL,6.1
2021,EMQ,4.1
2021,GLD,4.0
2021,CASH,-0.5
2021,IGCR,-1.1
2021,HBND,-3.2
2022,CMD,24.8
2022,GLD,5.6
2022,CASH,0.4
2022,DMX,-9.1
2022,INFL,-9.7
2022,S&P,-13.1
2022,GEQ,-13.3
2022,IGCR,-13.4
2022,HBND,-15.1
2022,SML,-15.5
2022,EMQ,-15.6
2023,S&P,21.5
2023,GEQ,17.8
2023,DMX,14.0
2023,SML,12.5
2023,GLD,8.7
2023,IGCR,7.5
2023,INFL,5.9
2023,EMQ,4.9
2023,HBND,3.6
2023,CASH,3.5
2023,CMD,-13.2
2024,GLD,34.9
2024,S&P,32.8
2024,GEQ,24.9
2024,SML,18.5
2024,EMQ,13.3
2024,CMD,12.3
2024,DMX,10.1
2024,IGCR,4.4
2024,CASH,4.0
2024,INFL,0.0
2024,HBND,-0.4
2025,GLD,41.3
2025,EMQ,16.9
2025,DMX,13.5
2025,GEQ,7.7
2025,S&P,4.5
2025,IGCR,3.1
2025,CMD,2.5
2025,CASH,2.1
2025,HBND,2.0
2025,INFL,1.7
2025,SML,0.5
TOTAL,S&P,226.7
TOTAL,GLD,219.3
TOTAL,GEQ,163.1
TOTAL,DMX,96.9
TOTAL,SML,92.1
TOTAL,EMQ,76.7
TOTAL,CMD,48.4
TOTAL,INFL,14.5
TOTAL,IGCR,9.7
TOTAL,CASH,8.3
TOTAL,HBND,-5.1
