year,code,ret
2016,DMX,3.4
2016,SML,2.8
2016,GEQ,2.2
2016,S&P,2.0
2016,CMD,1.8
2016,IGC,0.8
2016,EMQ,0.3
2016,BND,0.2
2016,CSH,0.0
2016,TIP,-0.0
2016,TLT,-0.5
2016,GLD,-2.2
2017,EMQ,37.7
2017,DMX,25.0
2017,GEQ,24.6
2017,S&P,21.8
2017,SML,14.6
2017,GLD,13.6
2017,TLT,8.5
2017,IGC,7.1
2017,TIP,2.9
2017,BND,2.1
2017,CMD,1.7
2017,CSH,0.9
2018,BND,2.6
2018,CSH,2.0
2018,TIP,-1.4
2018,GLD,-1.6
2018,TLT,-1.8
2018,IGC,-3.8
2018,S&P,-4.4
2018,GEQ,-9.0
2018,SML,-11.0
2018,CMD,-11.2
2018,DMX,-13.8
2018,EMQ,-14.3
2019,S&P,31.5
2019,GEQ,27.3
2019,SML,25.5
2019,DMX,22.0
2019,EMQ,18.8
2019,GLD,18.3
2019,IGC,17.4
2019,TLT,14.8
2019,TIP,8.3
2019,CMD,7.7
2019,BND,7.6
2019,CSH,2.1
2020,GLD,25.1
2020,SML,20.0
2020,EMQ,18.8
2020,S&P,18.4
2020,TLT,17.7
2020,GEQ,16.8
2020,IGC,11.0
2020,TIP,10.8
2020,DMX,7.8
2020,BND,6.1
2020,CSH,0.4
2020,CMD,-3.7
2021,CMD,33.2
2021,S&P,28.7
2021,GEQ,18.6
2021,SML,14.7
2021,DMX,10.6
2021,TIP,5.7
2021,CSH,-0.0
2021,IGC,-1.8
2021,BND,-2.4
2021,EMQ,-3.7
2021,GLD,-3.7
2021,TLT,-4.7
2022,CMD,17.5
2022,CSH,1.4
2022,GLD,-0.6
2022,TIP,-12.3
2022,BND,-13.0
2022,DMX,-14.4
2022,IGC,-17.9
2022,S&P,-18.2
2022,GEQ,-18.4
2022,SML,-20.5
2022,EMQ,-20.6
2022,TLT,-31.2
2023,S&P,26.2
2023,GEQ,22.3
2023,DMX,18.4
2023,SML,16.8
2023,GLD,12.8
2023,IGC,9.4
2023,EMQ,8.9
2023,BND,5.8
2023,CSH,4.9
2023,TIP,3.8
2023,TLT,2.8
2023,CMD,-9.8
2024,GLD,26.9
2024,S&P,24.9
2024,GEQ,17.4
2024,SML,11.4
2024,EMQ,6.5
2024,CMD,5.6
2024,CSH,5.2
2024,DMX,3.5
2024,TIP,1.7
2024,BND,1.1
2024,IGC,0.9
2024,TLT,-8.1
2025,GLD,58.4
2025,EMQ,31.0
2025,DMX,27.6
2025,GEQ,20.7
2025,S&P,17.0
2025,CMD,15.8
2025,SML,12.8
2025,IGC,8.9
2025,TIP,7.7
2025,TLT,7.6
2025,BND,4.1
2025,CSH,3.8
TOTAL,S&P,258.9
TOTAL,GLD,251.0
TOTAL,GEQ,189.4
TOTAL,DMX,117.2
TOTAL,SML,111.4
TOTAL,EMQ,94.1
TOTAL,CMD,64.4
TOTAL,IGC,31.0
TOTAL,TIP,28.3
TOTAL,CSH,22.5
TOTAL,BND,13.4
TOTAL,TLT,-4.6
