year,code,ret
2010,CMD,10.7
2010,DMX,8.1
2010,SML,7.9
2010,GEQ,7.4
2010,EMQ,7.3
2010,S&P,6.7
2010,GLD,2.5
2010,CSH,0.0
2010,BND,-0.4
2010,IGC,-0.8
2010,TIP,-1.4
2010,TLT,-3.7
2011,TLT,29.9
2011,TIP,13.3
2011,GLD,10.1
2011,IGC,9.7
2011,BND,5.5
2011,S&P,2.1
2011,CSH,0.1
2011,SML,-4.2
2011,GEQ,-6.9
2011,DMX,-12.1
2011,CMD,-13.3
2011,EMQ,-18.3
2012,EMQ,18.5
2012,DMX,17.3
2012,GEQ,16.7
2012,SML,16.3
2012,S&P,16.0
2012,IGC,10.6
2012,GLD,7.1
2012,TIP,6.4
2012,BND,4.5
2012,TLT,3.6
2012,CSH,0.1
2012,CMD,-1.1
2013,SML,38.8
2013,S&P,32.4
2013,GEQ,23.4
2013,DMX,22.8
2013,BND,0.2
2013,CSH,0.1
2013,IGC,-2.0
2013,EMQ,-2.4
2013,TIP,-8.5
2013,CMD,-9.5
2013,TLT,-12.7
2013,GLD,-28.3
2014,TLT,25.1
2014,S&P,13.7
2014,BND,8.4
2014,IGC,8.2
2014,SML,4.9
2014,GEQ,4.7
2014,TIP,3.6
2014,CSH,0.0
2014,GLD,-1.4
2014,EMQ,-2.1
2014,DMX,-4.9
2014,CMD,-17.0
2015,S&P,1.4
2015,BND,1.3
2015,CSH,0.1
2015,DMX,-0.8
2015,TLT,-1.2
2015,IGC,-1.3
2015,TIP,-1.8
2015,GEQ,-1.9
2015,SML,-4.4
2015,GLD,-10.4
2015,EMQ,-14.7
2015,CMD,-24.7
2016,SML,21.3
2016,S&P,12.0
2016,CMD,11.8
2016,EMQ,11.7
2016,GEQ,8.5
2016,GLD,8.1
2016,IGC,6.2
2016,TIP,4.7
2016,BND,3.8
2016,TLT,1.3
2016,DMX,1.0
2016,CSH,0.3
2017,EMQ,37.7
2017,DMX,25.0
2017,GEQ,24.6
2017,S&P,21.8
2017,SML,14.6
2017,GLD,13.6
2017,TLT,8.5
2017,IGC,7.1
2017,TIP,2.9
2017,BND,2.1
2017,CMD,1.7
2017,CSH,0.9
2018,BND,2.6
2018,CSH,2.0
2018,TIP,-1.4
2018,GLD,-1.6
2018,TLT,-1.8
2018,IGC,-3.8
2018,S&P,-4.4
2018,GEQ,-9.0
2018,SML,-11.0
2018,CMD,-11.2
2018,DMX,-13.8
2018,EMQ,-14.3
2019,S&P,31.5
2019,GEQ,27.3
2019,SML,25.5
2019,DMX,22.0
2019,EMQ,18.8
2019,GLD,18.3
2019,IGC,17.4
2019,TLT,14.8
2019,TIP,8.3
2019,CMD,7.7
2019,BND,7.6
2019,CSH,2.1
2020,GLD,25.1
2020,SML,20.0
2020,EMQ,18.8
2020,S&P,18.4
2020,TLT,17.7
2020,GEQ,16.8
2020,IGC,11.0
2020,TIP,10.8
2020,DMX,7.8
2020,BND,6.1
2020,CSH,0.4
2020,CMD,-3.7
2021,CMD,33.2
2021,S&P,28.7
2021,GEQ,18.6
2021,SML,14.7
2021,DMX,10.6
2021,TIP,5.7
2021,CSH,-0.0
2021,IGC,-1.8
2021,BND,-2.4
2021,EMQ,-3.7
2021,GLD,-3.7
2021,TLT,-4.7
2022,CMD,17.5
2022,CSH,1.4
2022,GLD,-0.6
2022,TIP,-12.3
2022,BND,-13.0
2022,DMX,-14.4
2022,IGC,-17.9
2022,S&P,-18.2
2022,GEQ,-18.4
2022,SML,-20.5
2022,EMQ,-20.6
2022,TLT,-31.2
2023,S&P,26.2
2023,GEQ,22.3
2023,DMX,18.4
2023,SML,16.8
2023,GLD,12.8
2023,IGC,9.4
2023,EMQ,8.9
2023,BND,5.8
2023,CSH,4.9
2023,TIP,3.8
2023,TLT,2.8
2023,CMD,-9.8
2024,GLD,26.9
2024,S&P,24.9
2024,GEQ,17.4
2024,SML,11.4
2024,EMQ,6.5
2024,CMD,5.6
2024,CSH,5.2
2024,DMX,3.5
2024,TIP,1.7
2024,BND,1.1
2024,IGC,0.9
2024,TLT,-8.1
2025,GLD,54.9
2025,EMQ,30.5
2025,DMX,24.9
2025,GEQ,17.8
2025,CMD,16.2
2025,S&P,13.6
2025,IGC,7.3
2025,TIP,7.0
2025,SML,6.5
2025,TLT,5.7
2025,CSH,3.7
2025,BND,3.6
TOTAL,S&P,637.9
TOTAL,GEQ,343.1
TOTAL,SML,294.5
TOTAL,GLD,190.5
TOTAL,DMX,167.8
TOTAL,EMQ,82.6
TOTAL,IGC,71.4
TOTAL,TIP,47.9
TOTAL,BND,41.2
TOTAL,TLT,33.5
TOTAL,CSH,23.1
TOTAL,CMD,-2.8
