panel,currency,metric,name,level,ytd,1y,3y,5y,10y,pe,3m
currencies,EUR,EURUSD,EUR / USD,1.1604,12.083454071283683,10.136674259681094,11.996911495029444,-2.100733991394577,8.875961718896605,,
currencies,EUR,EURGBP,EUR / GBP,0.8819,6.586898718878413,5.490430622009576,0.9732081520494691,-1.5406944289382642,26.039731313420038,,
currencies,EUR,EURCHF,EUR / CHF,0.9219,-1.9150973507819882,-1.5169319517145592,-6.0723382577687195,-14.788797485904428,-14.551858374270083,,
currencies,EUR,EURJPY,EUR / JPY,179.659,10.403121735389911,9.628386624359285,23.706534462576606,45.40223373259954,36.789249276686455,,
currencies,EUR,EURPLN,EUR / PLN,4.223,-1.290262259828903,-2.0912547528517176,-10.261586519050551,-5.9486425692078155,-0.5299729124955828,,
equities,EUR,VGWL,🐶 Global Equities,140.72,6.029405227177354,8.942210771281745,52.46796135860309,79.88168100913724,,,
equities,EUR,SXR8,US Large Caps,622.42,1.9090968629248755,5.177599783703402,58.675368378116545,102.9343679697434,245.98110061145078,,
equities,EUR,EUNL,Developed Markets,110.25,4.636264414179286,7.671273011377513,54.07512996813685,87.95390228101878,182.40266393442624,,
equities,EUR,IS3N,Emerging Markets,38.616,16.072018996663566,18.127867849495267,42.36838224450671,38.33918463853262,98.2340862422998,,
equities,EUR,EUNK,European Large Caps,91.29,15.396283655669329,17.566001287830005,46.110755441741375,71.82382834556748,100.06574621959237,,
yields10y,EUR,DE10Y,🇩🇪 Germany,,,1.9906,2.0996,2.3081,2.7187,,1.814
yields10y,EUR,FR10Y,🇫🇷 France,,,2.1088,2.4321,2.7706,3.4573,,2.025
yields10y,EUR,IT10Y,🇮🇹 Italy,,,1.9374,2.3448,2.7452,3.4697,,2.26
yields10y,EUR,ES10Y,🇪🇸 Spain,,,2.014,2.2224,2.5747,3.2231,,1.971
diversifiers,EUR,XEON,Cash,147.71,1.9434897235220245,2.3844181049421205,9.515406743972243,8.580753765519676,5.89289554806796,,
diversifiers,EUR,PPFB,Gold,68.46,35.92772758860318,42.5774741752749,106.35399083674943,,,,
diversifiers,EUR,BTCE,Bitcoin,74.89,-13.581813985691202,-5.7038529337698325,388.55111227085916,411.75345086784205,,,
diversifiers,EUR,SXRS,Commodities,6.815,0.19112025874743882,6.651017214397507,-2.9616972803645067,74.76599564046673,,,
diversifiers,EUR,DBMF,Managed Futures,114.82,,,,,,,
