panel,currency,metric,name,level,ytd,1y,3y,5y,10y,pe,3m
currencies,USD,USDEUR,USD / EUR,0.8597,-10.5411030176899,-9.438533656378386,-10.94882950072509,1.836057806207068,-8.014123689278833,,
currencies,USD,USDGBP,USD / GBP,0.7589,-5.030659491928421,-3.7783694687460305,-9.622484220554957,0.1319435281699434,15.334346504559267,,
currencies,USD,USDCHF,USD / CHF,0.7937,-12.520665711451565,-10.123428830257053,-15.975015879737459,-13.057289955088189,-21.35354736424892,,
currencies,USD,USDJPY,USD / JPY,154.493,-1.691179231145649,-0.09732061160022495,10.70798996775348,48.33701392222755,25.430705528943733,,
currencies,USD,USDPLN,USD / PLN,3.6361,-11.46794575247742,-11.372998269432319,-20.517192384200058,-3.893323465665803,-8.165378592716072,,
equities,USD,VWRA,🐶 Global Equities,166.92,19.79331132481698,19.776119402985053,69.66863183573896,75.96457938013914,,,
equities,USD,VXUS,Global ex-US,74.93,29.097506262771063,27.265315827912435,58.86342579341608,52.50287482064174,117.73495208261897,,
equities,USD,VUSD,US Large Caps,128.1475,14.928947144208838,15.599310449966586,76.34896170201056,98.06138709044234,284.8042159630053,,
equities,USD,IWDA,Developed Markets,128.07,18.22209914151204,18.35320210701414,71.30818619582662,83.82374049088558,213.3594323464644,,
equities,USD,EIMI,Emerging Markets,44.91,31.546572934973625,29.98552821997106,59.59488272921107,35.10830324909745,120.01224739742801,,
yields10y,USD,US10Y,🇺🇸 US,,,3.692,3.614,3.734,4.147,,3.883
yields10y,USD,DE10Y,🇩🇪 Germany,,,2.0067,2.1053,2.3161,2.7233,,1.814
yields10y,USD,FR10Y,🇫🇷 France,,,2.1127,2.4473,2.7824,3.4587,,2.025
yields10y,USD,IT10Y,🇮🇹 Italy,,,1.947,2.3519,2.7533,3.4689,,2.26
yields10y,USD,ES10Y,🇪🇸 Spain,,,2.014,2.2251,2.5752,3.2189,,1.971
yields10y,USD,JP10Y,🇯🇵 Japan,,,0.794,1.0049,1.2483,1.7022,,0.415
yields10y,USD,CA10Y,🇨🇦 Canada,,,2.405,2.497,2.7497,3.1859,,2.208
diversifiers,USD,XFFE,Cash,209.025,3.7473631964263614,4.303892215568863,15.36869411634838,16.500390146026096,,,
diversifiers,USD,XAUUSD,Gold,4085.1444,55.69501168528844,56.3871219661588,130.30857439239588,116.31485900291005,277.25856766865223,,
diversifiers,USD,BTC-USD,Bitcoin,95793.578125,2.5306598391657547,5.78090882774645,474.6658393625263,473.06137934594454,28862.444882836313,,
diversifiers,USD,CMOD,Commodities,26.425,14.779020523401021,16.834309715927937,7.785872198791001,69.43229761095652,,,
diversifiers,USD,DBMF,Managed Futures,28.41,10.66660953501326,10.84017712580224,7.357442466840491,51.45860877724229,,,
