panel,currency,metric,name,date,adjustedClose
currencies,EUR,EURUSD,EUR / USD,2013-11-15,1.3449
currencies,EUR,EURUSD,EUR / USD,2013-11-18,1.3484
currencies,EUR,EURUSD,EUR / USD,2013-11-19,1.3504
currencies,EUR,EURUSD,EUR / USD,2013-11-20,1.3567
currencies,EUR,EURUSD,EUR / USD,2013-11-21,1.3434
currencies,EUR,EURUSD,EUR / USD,2013-11-22,1.3472
currencies,EUR,EURUSD,EUR / USD,2013-11-25,1.3552
currencies,EUR,EURUSD,EUR / USD,2013-11-26,1.3528
currencies,EUR,EURUSD,EUR / USD,2013-11-27,1.3568
currencies,EUR,EURUSD,EUR / USD,2013-11-28,1.3574
currencies,EUR,EURUSD,EUR / USD,2013-11-29,1.3604
currencies,EUR,EURUSD,EUR / USD,2013-12-02,1.3585
currencies,EUR,EURUSD,EUR / USD,2013-12-03,1.3542
currencies,EUR,EURUSD,EUR / USD,2013-12-04,1.3591
currencies,EUR,EURUSD,EUR / USD,2013-12-05,1.3586
currencies,EUR,EURUSD,EUR / USD,2013-12-06,1.367
currencies,EUR,EURUSD,EUR / USD,2013-12-09,1.3707
currencies,EUR,EURUSD,EUR / USD,2013-12-10,1.374
currencies,EUR,EURUSD,EUR / USD,2013-12-11,1.3764
currencies,EUR,EURUSD,EUR / USD,2013-12-12,1.3786
currencies,EUR,EURUSD,EUR / USD,2013-12-13,1.3751
currencies,EUR,EURUSD,EUR / USD,2013-12-16,1.3767
currencies,EUR,EURUSD,EUR / USD,2013-12-17,1.3683
currencies,EUR,EURUSD,EUR / USD,2013-12-18,1.366
currencies,EUR,EURUSD,EUR / USD,2013-12-19,1.3671
currencies,EUR,EURUSD,EUR / USD,2013-12-22,1.3695
currencies,EUR,EURUSD,EUR / USD,2013-12-23,1.3681
currencies,EUR,EURUSD,EUR / USD,2013-12-25,1.369
currencies,EUR,EURUSD,EUR / USD,2013-12-26,1.3743
currencies,EUR,EURUSD,EUR / USD,2013-12-29,1.3796
currencies,EUR,EURUSD,EUR / USD,2013-12-30,1.3787
currencies,EUR,EURUSD,EUR / USD,2014-01-01,1.3671
currencies,EUR,EURUSD,EUR / USD,2014-01-02,1.3587
currencies,EUR,EURUSD,EUR / USD,2014-01-05,1.3627
currencies,EUR,EURUSD,EUR / USD,2014-01-06,1.3615
currencies,EUR,EURUSD,EUR / USD,2014-01-07,1.3574
currencies,EUR,EURUSD,EUR / USD,2014-01-08,1.3607
currencies,EUR,EURUSD,EUR / USD,2014-01-09,1.3668
currencies,EUR,EURUSD,EUR / USD,2014-01-12,1.367
currencies,EUR,EURUSD,EUR / USD,2014-01-13,1.3678
currencies,EUR,EURUSD,EUR / USD,2014-01-14,1.3604
currencies,EUR,EURUSD,EUR / USD,2014-01-15,1.3619
currencies,EUR,EURUSD,EUR / USD,2014-01-16,1.354
currencies,EUR,EURUSD,EUR / USD,2014-01-19,1.3551
currencies,EUR,EURUSD,EUR / USD,2014-01-20,1.356
currencies,EUR,EURUSD,EUR / USD,2014-01-21,1.3546
currencies,EUR,EURUSD,EUR / USD,2014-01-22,1.3695
currencies,EUR,EURUSD,EUR / USD,2014-01-23,1.3675
currencies,EUR,EURUSD,EUR / USD,2014-01-26,1.3672
currencies,EUR,EURUSD,EUR / USD,2014-01-27,1.367
currencies,EUR,EURUSD,EUR / USD,2014-01-28,1.3661
currencies,EUR,EURUSD,EUR / USD,2014-01-29,1.3554
currencies,EUR,EURUSD,EUR / USD,2014-01-30,1.3481
