panel,currency,metric,name,date,adjustedClose
currencies,GBP,GBPUSD,GBP / USD,2013-11-17,1.6108
currencies,GBP,GBPUSD,GBP / USD,2013-11-18,1.6119
currencies,GBP,GBPUSD,GBP / USD,2013-11-19,1.6103
currencies,GBP,GBPUSD,GBP / USD,2013-11-20,1.6198
currencies,GBP,GBPUSD,GBP / USD,2013-11-21,1.6222
currencies,GBP,GBPUSD,GBP / USD,2013-11-24,1.6153
currencies,GBP,GBPUSD,GBP / USD,2013-11-25,1.6214
currencies,GBP,GBPUSD,GBP / USD,2013-11-26,1.6285
currencies,GBP,GBPUSD,GBP / USD,2013-11-27,1.634
currencies,GBP,GBPUSD,GBP / USD,2013-11-28,1.6362
currencies,GBP,GBPUSD,GBP / USD,2013-12-01,1.6355
currencies,GBP,GBPUSD,GBP / USD,2013-12-02,1.6388
currencies,GBP,GBPUSD,GBP / USD,2013-12-03,1.6381
currencies,GBP,GBPUSD,GBP / USD,2013-12-04,1.6331
currencies,GBP,GBPUSD,GBP / USD,2013-12-05,1.6345
currencies,GBP,GBPUSD,GBP / USD,2013-12-08,1.6428
currencies,GBP,GBPUSD,GBP / USD,2013-12-09,1.6442
currencies,GBP,GBPUSD,GBP / USD,2013-12-10,1.637
currencies,GBP,GBPUSD,GBP / USD,2013-12-11,1.6348
currencies,GBP,GBPUSD,GBP / USD,2013-12-12,1.6291
currencies,GBP,GBPUSD,GBP / USD,2013-12-15,1.6297
currencies,GBP,GBPUSD,GBP / USD,2013-12-16,1.6262
currencies,GBP,GBPUSD,GBP / USD,2013-12-17,1.6388
currencies,GBP,GBPUSD,GBP / USD,2013-12-18,1.6367
currencies,GBP,GBPUSD,GBP / USD,2013-12-19,1.6325
currencies,GBP,GBPUSD,GBP / USD,2013-12-22,1.6354
currencies,GBP,GBPUSD,GBP / USD,2013-12-23,1.6368
currencies,GBP,GBPUSD,GBP / USD,2013-12-25,1.6406
currencies,GBP,GBPUSD,GBP / USD,2013-12-26,1.6474
currencies,GBP,GBPUSD,GBP / USD,2013-12-29,1.6498
currencies,GBP,GBPUSD,GBP / USD,2013-12-30,1.6565
