panel,currency,metric,name,date,adjustedClose
currencies,USD,USDEUR,USD / EUR,2013-11-15,0.7436
currencies,USD,USDEUR,USD / EUR,2013-11-18,0.7416
currencies,USD,USDEUR,USD / EUR,2013-11-19,0.7405
currencies,USD,USDEUR,USD / EUR,2013-11-20,0.7371
currencies,USD,USDEUR,USD / EUR,2013-11-21,0.7444
currencies,USD,USDEUR,USD / EUR,2013-11-22,0.7423
currencies,USD,USDEUR,USD / EUR,2013-11-25,0.7379
currencies,USD,USDEUR,USD / EUR,2013-11-26,0.7392
currencies,USD,USDEUR,USD / EUR,2013-11-27,0.737
currencies,USD,USDEUR,USD / EUR,2013-11-28,0.7367
currencies,USD,USDEUR,USD / EUR,2013-11-29,0.7351
currencies,USD,USDEUR,USD / EUR,2013-12-02,0.7361
currencies,USD,USDEUR,USD / EUR,2013-12-03,0.7384
currencies,USD,USDEUR,USD / EUR,2013-12-04,0.7358
currencies,USD,USDEUR,USD / EUR,2013-12-05,0.736
currencies,USD,USDEUR,USD / EUR,2013-12-06,0.7315
currencies,USD,USDEUR,USD / EUR,2013-12-09,0.7296
currencies,USD,USDEUR,USD / EUR,2013-12-10,0.7278
currencies,USD,USDEUR,USD / EUR,2013-12-11,0.7265
currencies,USD,USDEUR,USD / EUR,2013-12-12,0.7254
currencies,USD,USDEUR,USD / EUR,2013-12-13,0.7272
currencies,USD,USDEUR,USD / EUR,2013-12-16,0.7278
currencies,USD,USDEUR,USD / EUR,2013-12-17,0.7266
currencies,USD,USDEUR,USD / EUR,2013-12-18,0.7261
currencies,USD,USDEUR,USD / EUR,2013-12-19,0.7307
currencies,USD,USDEUR,USD / EUR,2013-12-20,0.7323
currencies,USD,USDEUR,USD / EUR,2013-12-23,0.7311
currencies,USD,USDEUR,USD / EUR,2013-12-24,0.7299
currencies,USD,USDEUR,USD / EUR,2013-12-25,0.7309
currencies,USD,USDEUR,USD / EUR,2013-12-26,0.7316
currencies,USD,USDEUR,USD / EUR,2013-12-27,0.7301
currencies,USD,USDEUR,USD / EUR,2013-12-30,0.7273
currencies,USD,USDEUR,USD / EUR,2013-12-31,0.7241
currencies,USD,USDEUR,USD / EUR,2014-01-01,0.7275
